result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
1-0,10,23,-10,-20
1-0,13,8,10,20
1-0,24,0,10,10
0-1,-3,42,10,-10
0-1,-7,28,0,-20
0-1,-7,24,0,-30
1-0,1,41,-10,-10
1-0,7,16,-10,-30
1-0,2,5,10,0
1-0,9,2,10,20
1-0,9,0,0,10
0-1,-2,35,0,10
0-1,-2,21,0,0
0-1,-7,11,0,10
0-1,-1,35,0,20
0-1,-5,33,0,20
0-1,3,32,10,30
0-1,-3,33,0,10
0-1,-4,30,0,10
0-1,-6,43,10,-10
0-1,-14,26,0,-20
1-0,3,30,10,30
1-0,4,32,10,0
0-1,-1,36,0,-10
0-1,1,40,-10,10
0-1,-4,25,-10,10
0-1,-3,22,0,0
0-1,-10,1,0,-10
1-0,-1,2,-10,-10
1-0,5,0,-10,0
0-1,3,39,-10,30
0-1,1,39,0,-10
0-1,-1,32,-20,-30
0-1,-1,39,10,0
0-1,-8,32,0,0
0-1,3,34,30,30
0-1,-5,29,20,20
0-1,-1,4,10,0
0-1,-4,27,0,0
0-1,-5,28,10,10
1-0,1,34,0,20
1-0,7,33,0,-20
1-0,10,21,0,-10
1-0,11,20,0,-20
1-0,-1,31,-10,10
1-0,-1,1,-10,0
1-0,-1,15,-20,-20
1-0,-1,0,-20,-20
0-1,1,40,10,20
1-0,-1,30,0,0
1-0,-2,24,0,10
1-0,5,5,0,0
1-0,5,13,0,-10
1-0,1,29,-10,10
1-0,-2,28,0,-10
1-0,-2,22,0,-10
1-0,5,1,20,30
0-1,-1,31,10,-10
0-1,6,31,0,10
0-1,1,20,0,0
0-1,-1,9,-10,-10
0-1,-11,0,0,0
1-0,1,29,20,20
1-0,11,0,-10,-10
1-0,8,26,0,20
0-1,3,27,0,10
0-1,-2,43,-10,-50
0-1,-6,39,-10,-10
0-1,-6,2,-10,-10
1-0,2,2,10,10
1-0,2,4,10,0
1-0,2,26,0,10
1-0,3,19,0,-20
1-0,3,1,0,-10
1-0,4,28,0,-10
1-0,5,5,0,10
1-0,5,6,0,0
1-0,-3,23,-10,-20
0-1,-1,45,-20,-20
0-1,-6,39,-10,0
0-1,-9,0,0,-10
1-0,4,15,10,10
1-0,1,9,0,0
0-1,1,31,0,10
0-1,-3,29,-10,-30
0-1,-3,20,-10,-10
0-1,-6,21,0,0
0-1,-7,3,0,0
0-1,-3,26,0,-10
0-1,-3,17,10,-20
0-1,-2,44,0,-10
0-1,-1,30,0,0
0-1,-1,38,10,-10
0-1,-1,33,0,-10
1-0,1,0,0,10
1-0,2,44,0,-10
1-0,3,19,0,0
1-0,5,14,-10,-10
0-1,1,29,0,10
0-1,2,29,10,0
0-1,2,27,-10,-10
1-0,1,20,10,0
1-0,9,5,0,-10
1-0,7,5,10,-10
1-0,2,31,10,0
1-0,2,31,10,10
0-1,-2,5,0,-20
0-1,-2,2,20,20
0-1,-4,22,10,10
0-1,-11,1,-10,-10
0-1,1,34,0,10
0-1,-1,0,0,40
0-1,-4,42,-30,-30
0-1,-12,41,0,0
0-1,-2,7,0,10
0-1,-5,21,-10,-10
0-1,-5,2,0,-10
1-0,5,22,0,10
1-0,10,0,0,10
0-1,-2,2,-10,-10
0-1,-3,35,10,20
0-1,-11,31,20,10
0-1,-17,45,0,0
0-1,-17,0,0,0
0-1,-7,30,10,10
0-1,-8,11,-10,-20
1-0,-6,40,20,10
0-1,-1,30,0,10
0-1,7,31,10,-10
0-1,-1,21,-10,-10
0-1,-5,5,0,0
1-0,-1,31,0,10
1-0,1,21,-10,10
1-0,3,28,0,10
1-0,3,6,0,0
1-0,9,2,10,10
1-0,9,27,0,10
1-0,-7,38,0,-10
1-0,7,5,0,0
1-0,11,5,0,-10
1-0,14,19,0,-10
1-0,14,3,0,10
1-0,22,1,0,20
0-1,-1,40,0,-10
0-1,-2,43,-20,-20
1-0,1,42,-10,-20
1-0,7,20,10,20
0-1,-1,3,-10,-10
0-1,-16,6,0,-10
1-0,1,29,10,10
1-0,7,41,10,40
0-1,-1,44,-20,-40
0-1,-1,43,-20,-50
1-0,2,37,0,10
1-0,14,2,20,30
1-0,17,0,0,10
1-0,6,25,20,30
1-0,5,39,10,30
1-0,3,19,10,10
1-0,1,6,10,10
1-0,1,24,10,20
1-0,6,35,-10,-10
1-0,11,24,-10,0
0-1,-3,51,-30,-60
0-1,-3,46,10,-10
0-1,-2,33,-10,-30
0-1,-7,18,0,0
0-1,-2,42,10,-10
0-1,2,33,20,0
0-1,-3,32,-10,0
0-1,-9,12,0,0
0-1,1,44,20,30
0-1,1,43,10,30
1-0,1,26,20,20
1-0,1,35,20,20
1-0,1,16,10,30
1-0,1,18,-10,-10
1-0,4,4,-10,0
1-0,9,6,0,-10
1-0,9,1,0,0
1-0,9,6,0,-10
1-0,3,30,20,10
0-1,3,28,-10,0
1-0,5,32,30,40
1-0,5,34,30,40
0-1,-1,24,10,10
0-1,-3,33,-10,-10
0-1,-4,16,0,-10
0-1,-2,37,0,20
0-1,-1,32,-10,0
0-1,1,46,10,20
0-1,-2,2,20,30
1-0,9,25,10,-20
1-0,7,0,-10,-20
0-1,6,26,10,-20
0-1,7,3,10,-20
0-1,7,10,-10,-20
0-1,7,28,0,-20
1-0,4,38,0,0
0-1,3,28,0,20
0-1,-2,27,-10,-10
0-1,-2,5,-10,-20
0-1,-9,29,-10,0
0-1,-9,1,0,0
0-1,1,29,0,30
0-1,-2,42,-10,-10
0-1,-4,24,0,20
0-1,5,18,0,0
1-0,1,4,-10,10
1-0,1,2,-10,0
0-1,-1,28,0,0
0-1,-1,36,-10,-10
0-1,-8,24,-10,-30
0-1,-3,29,20,40
0-1,-6,22,10,10
0-1,-9,4,-10,-20
0-1,-1,27,10,10
0-1,-2,3,0,-20
0-1,-2,25,0,-10
1-0,1,43,20,30
1-0,3,28,20,20
1-0,3,0,20,-20
1-0,4,5,10,0
0-1,-9,2,10,30
1-0,6,29,10,20
1-0,6,30,20,20
1-0,7,5,10,30
1-0,5,0,0,-20
1-0,1,34,0,30
1-0,6,35,-10,10
0-1,1,33,10,10
0-1,-7,51,-10,-10
0-1,-14,0,-10,-20
1/2-1/2,2,24,0,20
1/2-1/2,3,10,10,20
1/2-1/2,6,3,0,0
1/2-1/2,6,29,0,-10
1-0,3,31,0,10
1-0,4,33,10,10
1-0,8,9,10,20
1-0,1,44,10,20
1-0,1,48,10,20
1-0,3,42,0,0
1-0,4,2,10,10
1-0,4,0,0,0
1/2-1/2,1,30,20,0
1/2-1/2,2,21,0,0
1/2-1/2,10,3,0,0
1/2-1/2,10,4,10,10
1/2-1/2,10,24,-10,-10
0-1,1,29,0,30
0-1,-9,36,-20,0
0-1,-7,3,0,10
0-1,-4,29,-10,20
0-1,-4,25,-10,0
0-1,-5,25,-10,-10
0-1,-5,24,0,-20
0-1,-5,19,0,-10
0-1,-5,0,0,-10
0-1,-1,37,10,-10
0-1,-6,36,20,0
0-1,-8,32,0,-10
0-1,-8,17,0,-20
1-0,1,38,20,20
1-0,2,23,10,30
1-0,3,22,10,30
1-0,1,0,-10,-10
1-0,3,16,0,-20
0-1,1,30,0,-10
0-1,-7,27,10,10
0-1,-14,9,10,10
0-1,1,1,0,-10
0-1,1,2,-10,-10
1-0,-1,34,10,30
1-0,-4,2,0,-10
1-0,10,2,10,10
1-0,15,2,10,20
1-0,15,0,10,20
0-1,-6,0,0,-10
0-1,-3,4,-10,-20
0-1,-3,41,-10,-30
0-1,-1,28,20,0
0-1,-3,17,30,10
0-1,-3,28,-10,-40
0-1,-5,26,-20,-40
0-1,-4,28,10,20
0-1,-4,4,-10,-10
0-1,2,39,0,30
0-1,2,22,10,20
0-1,2,8,10,10
0-1,2,6,10,0
0-1,10,2,20,-10
0-1,10,24,-10,10
1-0,-1,39,0,-20
1-0,4,5,-30,-30
1-0,3,7,-10,-10
1-0,5,4,0,10
1-0,4,35,20,30
1-0,4,0,10,10
0-1,-3,28,0,-10
0-1,-3,0,0,-20
0-1,-2,43,0,10
0-1,-5,49,0,0
0-1,-8,3,-10,0
0-1,1,32,10,10
0-1,-14,3,10,0
0-1,3,32,20,10
0-1,2,37,10,-10
1/2-1/2,1,14,0,0
1/2-1/2,-1,13,0,-20
1/2-1/2,-1,16,-10,-10
1/2-1/2,-1,16,0,0
0-1,1,34,0,10
0-1,1,36,-10,-10
0-1,2,18,0,10
0-1,2,20,0,20
1-0,1,29,0,0
1-0,8,36,0,0
1-0,3,26,20,20
0-1,-3,33,0,30
0-1,-4,18,0,10
1-0,-2,37,10,10
1-0,6,0,0,20
0-1,-1,36,20,40
0-1,-1,34,10,20
0-1,-4,35,0,-10
1-0,3,31,0,-10
1-0,-1,34,0,0
1-0,1,18,10,20
1-0,2,17,10,10
1-0,3,15,10,10
1-0,6,4,-10,0
1-0,14,3,0,10
1-0,14,0,0,0
1-0,6,16,0,0
1-0,6,35,0,-20
1-0,2,11,0,20
1-0,3,13,10,0
1-0,2,11,0,10
1-0,17,1,0,0
1-0,18,0,0,0
1-0,-4,0,-10,-10
0-1,-1,32,-10,-10
0-1,5,41,-10,-10
0-1,-3,34,10,30
0-1,-9,3,10,30
0-1,-2,21,0,-30
0-1,-1,26,10,0
0-1,-3,38,-10,-10
0-1,-11,1,0,10
1-0,-1,44,10,20
1-0,5,39,10,30
1-0,12,23,10,20
1-0,12,42,10,10
1-0,3,33,0,10
1-0,1,32,10,20
1-0,1,25,-10,20
1-0,2,2,0,20
0-1,2,4,10,30
0-1,13,16,10,10
0-1,4,37,10,0
0-1,1,42,0,0
0-1,-2,46,-10,-10
0-1,-1,50,-10,0
0-1,-5,3,-10,20
1-0,1,15,10,-10
1-0,1,18,0,20
1-0,1,18,0,20
1-0,-1,35,10,10
1-0,-3,1,10,20
1-0,-6,23,10,-10
1-0,3,5,0,-10
1-0,1,29,10,0
1-0,3,14,0,20
1-0,8,6,10,40
0-1,1,44,-10,-10
0-1,-3,27,0,0
0-1,-2,19,10,10
0-1,-4,22,0,-10
0-1,-3,19,0,-10
0-1,-3,16,0,-10
1-0,6,2,20,20
1-0,3,20,10,30
1-0,3,33,0,30
0-1,1,27,0,20
0-1,-1,9,-20,0
0-1,-2,8,-20,-20
0-1,-5,33,-10,-10
0-1,-4,33,0,0
0-1,-10,1,0,-10
0-1,3,28,0,20
0-1,-1,19,0,-20
0-1,-1,15,0,-30
0-1,-2,6,0,-10
0-1,3,27,20,10
0-1,-1,26,-10,-20
0-1,-4,0,-10,-20
0-1,1,33,10,10
0-1,-5,38,-10,-20
0-1,-5,20,0,-10
0-1,2,46,10,0
0-1,1,33,0,0
0-1,1,21,10,0
0-1,-2,24,-10,-20
0-1,-1,4,-10,-20
0-1,-1,3,-10,-10
0-1,-5,20,0,0
0-1,-12,0,0,0
1-0,1,36,-10,-20
1-0,-1,42,10,20
1-0,2,37,0,0
1/2-1/2,2,31,0,10
1/2-1/2,-3,17,10,20
1/2-1/2,-1,7,0,0
1/2-1/2,-1,4,0,10
1/2-1/2,-1,3,0,20
1/2-1/2,-9,4,0,10
1/2-1/2,-5,19,0,-20
1/2-1/2,-5,21,0,-10
0-1,-1,36,0,10
0-1,-6,39,-20,-20
1-0,2,40,0,0
1-0,-1,37,0,-20
0-1,-1,32,20,10
0-1,-2,31,10,0
0-1,-3,2,10,0
1/2-1/2,-3,4,-10,0
1/2-1/2,-2,23,0,10
1/2-1/2,-2,14,0,-20
1/2-1/2,-3,11,0,-10
1/2-1/2,-4,13,0,0
1/2-1/2,-4,20,-10,-20
1/2-1/2,-4,15,0,-10
1-0,-1,21,-10,-20
1-0,1,19,0,10
1-0,2,17,0,0
1-0,-1,15,-10,-20
1-0,4,4,0,0
0-1,-1,0,10,40
0-1,-1,41,0,20
0-1,6,30,10,20
0-1,-7,9,0,10
1-0,1,0,0,-10
0-1,-4,44,10,20
0-1,-12,39,0,-10
0-1,-17,5,-10,-10
0-1,-4,35,10,0
0-1,-5,34,0,-10
0-1,7,2,20,20
0-1,-1,16,0,-10
0-1,1,14,0,0
1-0,2,28,10,20
1-0,4,38,10,10
1-0,1,2,0,-10
1-0,1,41,20,20
1-0,-1,30,0,10
1-0,-4,41,10,20
1-0,-1,41,0,-10
1-0,5,20,0,10
0-1,2,38,20,30
0-1,2,25,10,20
0-1,-3,0,10,20
0-1,6,19,10,0
0-1,8,19,10,0
0-1,16,44,10,10
0-1,-1,42,0,10
0-1,-5,26,0,-30
0-1,-4,28,0,-10
0-1,-5,5,0,-20
1-0,9,30,10,0
0-1,3,37,20,30
0-1,5,27,10,40
0-1,-3,40,-10,0
0-1,-4,31,-10,0
0-1,-6,0,-10,10
1-0,1,32,10,10
1-0,1,34,10,0
1-0,1,18,10,20
1-0,1,15,-10,10
1-0,9,6,10,10
1-0,9,0,0,10
0-1,-1,29,0,20
0-1,-10,23,0,40
0-1,-16,0,-10,10
1-0,-2,23,-10,10
1-0,-6,29,0,0
1-0,3,40,30,20
1-0,3,1,20,0
1-0,5,5,20,10
1-0,4,17,20,0
1-0,1,27,0,-10
1-0,11,10,-20,-20
1-0,9,4,0,-10
1-0,33,3,-10,-10
1-0,41,0,0,0
1-0,1,37,20,10
1-0,5,0,0,-10
0-1,3,28,0,10
0-1,-8,26,10,-10
1-0,3,34,-10,-30
1-0,5,33,0,-10
1-0,13,9,0,-10
0-1,1,44,20,10
0-1,-2,29,20,20
1-0,3,29,10,10
1-0,1,4,0,10
1-0,12,0,0,-20
1-0,-3,21,30,30
1-0,-10,27,20,20
1-0,-4,12,10,0
1-0,-4,11,10,0
1-0,2,41,20,10
1-0,2,21,10,10
0-1,9,20,-10,-10
0-1,-5,18,0,20
0-1,-5,5,10,10
0-1,-1,24,-20,-10
0-1,-1,28,-20,-10
0-1,3,35,10,30
0-1,6,3,10,10
0-1,-3,21,10,10
1-0,7,3,-10,-20
1-0,5,8,-20,-20
1-0,10,5,-10,-10
1-0,10,7,0,-10
0-1,-12,28,0,20
0-1,-1,46,-20,-50
0-1,-5,1,-20,-30
1/2-1/2,-1,51,20,10
1/2-1/2,2,2,10,10
1/2-1/2,1,34,-20,-20
1/2-1/2,1,3,-20,-10
0-1,-5,40,20,10
0-1,-4,28,-10,10
0-1,-7,19,-10,-10
0-1,-4,37,-10,-10
0-1,-4,34,-10,0
0-1,4,4,20,30
0-1,4,22,10,10
0-1,-1,15,0,10
0-1,-2,7,10,-10
1-0,-2,28,-10,10
0-1,1,37,-10,-40
0-1,4,2,0,-10
0-1,-8,0,0,0
0-1,-1,50,0,-30
0-1,2,49,20,10
1-0,-1,35,0,-10
1-0,13,4,0,10
1-0,13,6,0,0
1-0,21,0,0,0
0-1,-5,36,-10,0
0-1,-1,36,10,10
0-1,3,48,0,0
0-1,5,7,0,20
0-1,-5,42,10,30
0-1,-8,15,0,10
1-0,15,6,0,-10
1-0,19,25,10,20
0-1,-6,37,10,-10
0-1,-1,27,10,10
0-1,-1,4,0,10
0-1,-1,0,10,20
0-1,-1,27,20,30
0-1,-2,36,0,0
0-1,-2,3,-10,-30
0-1,-8,39,-10,-10
0-1,-8,33,-10,-50
0-1,-12,31,-10,-30
0-1,-18,30,-10,-10
0-1,-18,1,-20,-30
1-0,-3,4,10,0
1-0,-1,28,20,0
1-0,9,18,10,10
1-0,9,2,0,-10
1-0,18,2,0,10
0-1,-6,23,20,40
0-1,1,33,0,0
0-1,-1,0,-10,-20
1-0,2,21,-10,-30
1-0,3,24,0,-10
1-0,3,19,0,-20
1-0,4,17,10,20
1-0,3,14,-10,10
1-0,16,5,0,0
1-0,24,0,10,20
0-1,-6,38,0,-20
0-1,-4,27,-10,-10
0-1,-1,24,0,-20
0-1,1,35,-10,-20
0-1,3,31,10,30
0-1,-6,0,20,20
0-1,-4,29,10,30
0-1,-5,26,-10,0
0-1,-11,9,0,10
0-1,-1,43,10,20
0-1,-1,39,0,20
0-1,-3,24,0,20
1-0,3,31,10,0
1-0,2,32,0,0
1-0,4,40,10,-10
1-0,11,0,10,0
1-0,1,46,-20,-20
1-0,1,6,0,-10
1-0,2,29,-20,-10
1-0,2,38,-10,30
1-0,15,9,0,30
1/2-1/2,3,16,0,10
1/2-1/2,1,26,-10,-20
1/2-1/2,1,17,10,10
1/2-1/2,1,9,0,10
1/2-1/2,1,0,0,10
0-1,2,21,10,-20
0-1,-1,30,-10,-10
1-0,3,33,-10,0
1-0,1,3,-20,-30
1-0,1,24,-10,-20
1-0,12,30,0,-10
1-0,9,19,-10,-10
1-0,12,0,0,0
0-1,-2,36,10,0
0-1,-5,33,0,10
0-1,-11,14,10,10
0-1,-1,18,-10,10
0-1,-3,37,0,-20
0-1,-7,17,0,20
0-1,-16,0,0,0
0-1,-2,40,0,-10
0-1,-14,22,10,-10
0-1,6,41,10,20
0-1,6,42,0,20
1-0,-1,38,-10,-30
1-0,-2,39,0,-20
1-0,2,44,-10,-30
1-0,1,35,-20,-20
1-0,1,29,0,10
1-0,1,33,0,-10
1-0,1,34,-20,-30
1-0,4,35,10,20
1-0,12,0,10,20
0-1,-1,51,-20,-10
0-1,2,0,0,-20
0-1,-2,32,10,-10
0-1,-1,38,0,-10
0-1,-9,10,0,-10
0-1,-14,42,0,0
0-1,-19,40,10,-10
0-1,-19,0,10,-10
1-0,1,20,0,20
1-0,2,17,0,10
0-1,-2,26,0,0
0-1,-2,2,0,0
0-1,3,5,10,-10
0-1,4,5,0,-20
0-1,6,16,10,0
0-1,1,18,0,0
0-1,-3,19,-10,-10
0-1,-5,2,0,-10
0-1,-1,32,10,-10
0-1,1,38,0,0
0-1,3,40,10,0
0-1,-1,29,-10,-20
0-1,2,0,-10,-30
0-1,1,3,-10,-10
0-1,-2,33,-10,0
0-1,-10,30,-10,10
0-1,-9,24,-10,-20
0-1,-7,0,0,-10
0-1,1,33,10,20
0-1,1,37,10,-20
0-1,5,44,30,20
0-1,4,44,10,-10
1-0,1,42,0,20
1-0,4,42,0,10
1-0,4,35,20,20
1-0,17,59,10,30
0-1,-1,17,0,10
0-1,-1,16,0,-10
0-1,-1,4,0,-10
0-1,1,25,10,30
0-1,2,26,10,-10
0-1,1,14,0,20
0-1,5,4,10,0
0-1,4,4,10,20
0-1,4,4,10,10
0-1,1,33,-10,0
0-1,4,26,0,0
0-1,-4,26,0,20
0-1,-3,24,0,0
0-1,-13,38,0,-20
0-1,-16,0,0,-20
1-0,1,27,-10,-10
0-1,-3,33,0,-20
1-0,4,43,10,10
1-0,1,31,10,20
1-0,1,26,0,0
1-0,2,24,0,20
0-1,4,34,0,10
0-1,-11,1,10,0
0-1,3,36,20,40
0-1,-12,0,20,0
1/2-1/2,3,41,10,10
1/2-1/2,7,26,10,10
1/2-1/2,5,2,10,20
1/2-1/2,10,7,0,-10
1/2-1/2,16,8,0,-10
1/2-1/2,15,35,0,0
1-0,1,35,0,0
1-0,-1,29,10,20
1-0,-3,0,-10,-10
0-1,7,25,0,0
0-1,4,34,10,0
0-1,-16,2,10,-30
0-1,-1,33,0,-20
0-1,-1,44,10,-20
0-1,-4,25,0,-10
0-1,-5,12,0,10
1-0,3,5,-10,0
1-0,2,2,0,-10
1-0,6,28,20,0
0-1,1,31,10,-10
0-1,-2,27,10,0
0-1,-3,22,20,30
0-1,-11,2,20,30
0-1,-2,46,0,-10
0-1,-2,0,0,10
1-0,2,24,10,10
1-0,1,26,10,10
1-0,2,23,20,30
1-0,1,27,10,50
1-0,1,0,20,30
1-0,9,44,0,0
1-0,14,36,10,-10
1-0,-2,44,-10,-10
1-0,1,36,0,-10
1-0,-3,5,0,0
1-0,1,4,0,0
1-0,1,36,10,20
1-0,3,28,10,10
1-0,2,0,10,30
0-1,-1,23,0,-10
0-1,-2,16,-20,-30
0-1,-1,0,-10,-30
1-0,-1,36,-20,-10
1-0,1,37,-10,0
1-0,2,23,20,20
1-0,4,5,0,10
1-0,2,4,20,20
1-0,9,3,0,-10
1-0,9,1,0,10
1-0,9,0,0,10
1-0,4,38,10,10
1-0,4,2,0,20
1-0,10,3,0,20
1-0,18,0,10,30
0-1,1,43,0,10
0-1,-9,39,0,10
0-1,-10,32,0,20
0-1,-10,46,-10,-10
0-1,-15,0,0,0
0-1,-5,26,10,20
0-1,-6,39,10,-10
1-0,2,31,0,10
1-0,2,28,0,-10
1-0,5,38,0,10
1-0,3,30,-10,20
0-1,-1,39,-10,10
0-1,-3,4,0,-20
0-1,-8,5,-10,-30
0-1,2,41,20,-10
0-1,2,28,-10,-10
0-1,2,13,0,0
0-1,2,16,0,20
1/2-1/2,2,27,20,30
1/2-1/2,4,13,20,0
1/2-1/2,7,2,0,10
1/2-1/2,8,23,0,10
1-0,-3,47,-10,-30
1-0,-4,4,0,-40
1-0,-3,31,0,-10
1-0,2,21,0,20
1-0,1,13,-10,0
1-0,2,19,-10,-20
0-1,1,28,10,10
0-1,2,16,10,0
0-1,2,3,0,0
0-1,-7,39,0,0
0-1,-12,43,0,-10
0-1,-12,0,0,0
1-0,-2,35,-10,10
1-0,-2,35,-10,0
1-0,-5,50,0,-10
1-0,-4,25,20,20
1-0,-5,28,20,20
0-1,-2,22,0,20
0-1,-3,5,10,10
0-1,2,26,0,-10
0-1,6,35,0,20
0-1,6,14,-10,-10
0-1,9,22,0,20
0-1,9,34,0,20
1-0,-2,2,-10,0
1-0,3,14,10,10
1-0,9,4,10,20
0-1,-2,3,10,20
0-1,-6,39,0,10
0-1,3,27,0,20
0-1,1,36,0,0
0-1,-2,0,0,-20
0-1,-8,33,0,10
1-0,1,0,0,0
1-0,-3,28,0,30
1-0,6,36,0,30
1-0,8,26,10,40
1-0,10,0,10,50
1-0,-1,31,-20,-10
1-0,14,4,0,0
1-0,23,0,0,0
1-0,4,3,0,10
0-1,3,3,-10,0
0-1,4,0,10,20
0-1,-3,30,10,0
0-1,-6,19,0,0
0-1,-9,28,-10,-10
1/2-1/2,-1,32,-10,-10
1/2-1/2,-2,21,0,0
1/2-1/2,-10,32,0,-10
1/2-1/2,-11,0,0,0
0-1,-1,48,-10,10
0-1,-8,30,0,10
0-1,-9,15,0,0
0-1,-7,33,0,10
0-1,-6,0,0,-10
0-1,3,38,10,20
1-0,1,30,0,20
0-1,-1,48,10,10
0-1,-4,41,10,0
0-1,-11,33,10,20
0-1,-20,42,10,0
0-1,-28,2,0,-10
0-1,-4,0,-10,-10
1-0,8,1,10,10
0-1,2,39,0,30
0-1,1,24,10,10
0-1,-3,35,10,10
0-1,-4,36,-10,-20
0-1,-11,7,0,-10
0-1,2,2,0,-20
0-1,2,46,10,0
0-1,1,25,10,10
0-1,1,14,10,20
0-1,1,12,0,0
0-1,-2,18,-10,-30
0-1,-2,8,-10,-30
0-1,-18,45,0,10
0-1,-18,0,0,0
0-1,2,43,10,0
0-1,2,21,0,0
0-1,2,24,0,0
0-1,-8,3,-10,-10
1-0,3,41,-10,-20
1-0,-1,45,10,-20
1-0,-1,41,20,0
1-0,-2,32,-20,-20
1-0,-3,18,-10,-30
1-0,-1,14,-10,0
1-0,1,13,-10,10
1-0,2,15,10,20
1-0,-2,31,0,10
1-0,-2,37,20,30
1-0,5,2,30,20
1-0,3,36,-10,-20
1-0,2,41,-10,-40
1-0,2,33,-10,-20
1-0,4,17,-10,-10
1-0,4,15,0,0
1/2-1/2,-2,43,-10,-40
1/2-1/2,-1,20,-10,-30
1/2-1/2,7,16,0,0
1/2-1/2,-3,3,0,0
0-1,8,31,0,0
0-1,-1,45,0,10
0-1,-1,27,10,10
1-0,4,35,0,30
1-0,4,18,10,0
1-0,9,19,0,-10
1-0,13,15,0,-20
1-0,14,24,0,-40
1-0,-2,2,0,0
1-0,9,24,0,20
0-1,-1,37,0,10
0-1,1,25,0,0
0-1,-3,4,0,10
0-1,-3,29,0,10
0-1,-23,12,0,10
0-1,3,34,0,20
0-1,1,35,0,-10
0-1,-1,5,10,10
0-1,-3,21,0,-10
0-1,-4,17,0,0
0-1,-9,5,10,0
1-0,-1,0,-10,-20
1-0,-1,35,0,-10
1-0,1,24,10,10
1-0,1,12,0,-20
1-0,3,43,20,30
1-0,10,24,20,20
1-0,1,39,20,-10
0-1,4,23,0,0
1-0,4,35,10,0
0-1,1,37,-10,10
0-1,-3,33,0,10
0-1,-5,26,0,-10
0-1,4,2,0,0
0-1,-4,19,-10,-10
1-0,-1,44,-30,-30
1-0,-1,5,-20,-30
1-0,8,22,-20,-40
0-1,-1,25,0,-30
0-1,-3,25,-10,-10
0-1,3,0,-20,-30
0-1,1,34,30,10
0-1,2,44,0,-10
0-1,-12,30,0,10
0-1,-22,56,0,-10
0-1,-29,0,0,0
0-1,3,4,0,10
0-1,-3,35,10,0
0-1,1,25,20,30
0-1,-1,0,10,10
0-1,1,34,10,40
0-1,-3,35,30,30
0-1,-9,48,10,10
1-0,1,20,10,30
1-0,12,24,0,20
1-0,1,39,10,0
1-0,4,3,0,0
1-0,13,21,0,0
1-0,1,28,10,30
1-0,3,35,0,10
1-0,3,20,0,20
1-0,1,13,20,10
1-0,2,14,10,20
1-0,5,5,0,10
1-0,5,2,0,20
1-0,5,1,0,20
0-1,3,40,-10,-20
0-1,11,2,-20,-10
0-1,6,45,0,-10
0-1,2,13,0,-10
1-0,7,32,10,10
1-0,21,0,0,20
1-0,7,31,30,50
1-0,7,26,40,40
0-1,1,15,10,0
0-1,1,14,10,10
0-1,-2,9,10,10
0-1,-1,38,10,20
0-1,-7,44,0,-10
0-1,-11,1,0,0
1-0,6,40,0,-10
1-0,-1,20,-10,-10
1-0,-1,0,-10,10
0-1,-1,15,0,0
0-1,-2,9,0,0
0-1,-2,32,-10,-10
0-1,-2,42,-10,-10
0-1,3,28,0,0
0-1,1,32,-10,-10
0-1,-4,0,-10,-10
0-1,5,37,10,0
0-1,5,0,10,0
1-0,3,34,0,0
1-0,-1,32,20,20
1-0,-1,44,0,10
1-0,-2,34,0,20
1-0,-2,39,0,0
1-0,3,38,0,40
1-0,5,30,-10,30
1-0,10,1,10,30
1-0,-1,30,0,0
1-0,-1,43,0,0
1-0,8,29,0,-10
1-0,-2,28,0,-10
1-0,1,15,0,0
1-0,2,0,0,-10
0-1,-5,33,-10,-10
0-1,-8,47,-10,-40
0-1,-8,3,-20,-40
0-1,1,27,0,10
0-1,-10,28,0,-10
0-1,-10,0,0,-10
0-1,8,33,20,10
0-1,3,41,20,10
1-0,-1,50,20,20
1-0,5,22,10,0
1-0,8,22,0,-10
0-1,3,35,20,20
0-1,2,31,10,40
0-1,-3,27,10,10
0-1,-3,20,0,0
0-1,14,41,0,-10
0-1,-3,28,-10,-10
0-1,-3,0,0,20
1-0,-2,36,20,40
1-0,12,45,20,20
1-0,-1,47,20,30
1-0,-1,49,20,20
0-1,2,31,20,20
0-1,2,26,-10,0
0-1,2,15,-10,-40
0-1,3,17,10,10
0-1,-7,15,0,-10
0-1,-3,42,0,10
0-1,-3,34,0,-10
0-1,-4,37,-10,-10
0-1,-9,1,-10,-30
0-1,-9,3,-10,-20
1-0,1,4,10,40
1-0,1,3,-10,-10
1-0,-1,36,-10,-40
1-0,2,13,0,-10
0-1,-1,31,0,10
0-1,-2,0,0,-10
1-0,3,33,0,-10
1-0,1,30,0,10
1-0,2,12,10,20
1-0,3,7,10,20
1-0,10,27,0,20
1-0,-2,0,0,0
1-0,7,23,10,20
1-0,16,13,10,10
1-0,2,20,10,10
1-0,5,19,-10,0
1-0,8,13,0,20
1-0,9,14,0,10
1-0,9,4,-10,10
1-0,1,31,10,30
1-0,1,25,0,20
1-0,2,12,20,40
1-0,1,34,-10,0
1-0,2,16,0,20
1-0,2,12,10,30
1-0,1,7,0,0
1-0,1,40,0,30
1-0,1,42,0,0
1-0,5,24,10,20
1-0,3,32,0,0
1-0,8,30,10,10
0-1,-5,35,-10,-20
0-1,-5,34,-10,-10
1-0,7,1,-10,-20
1-0,11,0,-10,-20
